DATE,Region,SKU,QTY
01-01-2022,R1,SKU1,65
02-01-2022,R1,SKU1,60
03-01-2022,R1,SKU1,40
04-01-2022,R1,SKU1,66
05-01-2022,R1,SKU1,124.5
06-01-2022,R1,SKU1,95
07-01-2022,R1,SKU1,95
08-01-2022,R1,SKU1,65
09-01-2022,R1,SKU1,113.75
10-01-2022,R1,SKU1,55
11-01-2022,R1,SKU1,155
12-01-2022,R1,SKU1,45
14-01-2022,R1,SKU1,196
15-01-2022,R1,SKU1,90
16-01-2022,R1,SKU1,131
17-01-2022,R1,SKU1,130
18-01-2022,R1,SKU1,20
19-01-2022,R1,SKU1,80
20-01-2022,R1,SKU1,85
21-01-2022,R1,SKU1,60
22-01-2022,R1,SKU1,82
23-01-2022,R1,SKU1,65
24-01-2022,R1,SKU1,120
25-01-2022,R1,SKU1,91
26-01-2022,R1,SKU1,70
27-01-2022,R1,SKU1,117.5
28-01-2022,R1,SKU1,50
29-01-2022,R1,SKU1,128.5
30-01-2022,R1,SKU1,181
31-01-2022,R1,SKU1,144.5
01-02-2022,R1,SKU1,25
02-02-2022,R1,SKU1,115
03-02-2022,R1,SKU1,100
04-02-2022,R1,SKU1,67
05-02-2022,R1,SKU1,35
06-02-2022,R1,SKU1,161.5
07-02-2022,R1,SKU1,130
08-02-2022,R1,SKU1,144.5
09-02-2022,R1,SKU1,100
10-02-2022,R1,SKU1,125
11-02-2022,R1,SKU1,160
12-02-2022,R1,SKU1,50
13-02-2022,R1,SKU1,133
14-02-2022,R1,SKU1,145
15-02-2022,R1,SKU1,110
16-02-2022,R1,SKU1,65
17-02-2022,R1,SKU1,140
18-02-2022,R1,SKU1,150
19-02-2022,R1,SKU1,145
20-02-2022,R1,SKU1,106
21-02-2022,R1,SKU1,110
22-02-2022,R1,SKU1,100
23-02-2022,R1,SKU1,111
24-02-2022,R1,SKU1,155
25-02-2022,R1,SKU1,204
26-02-2022,R1,SKU1,157.5
27-02-2022,R1,SKU1,50
28-02-2022,R1,SKU1,142
01-03-2022,R1,SKU1,155
02-03-2022,R1,SKU1,102.5
03-03-2022,R1,SKU1,260
04-03-2022,R1,SKU1,40
05-03-2022,R1,SKU1,150
06-03-2022,R1,SKU1,85
07-03-2022,R1,SKU1,65
08-03-2022,R1,SKU1,131
09-03-2022,R1,SKU1,131
10-03-2022,R1,SKU1,75
11-03-2022,R1,SKU1,125
12-03-2022,R1,SKU1,95
13-03-2022,R1,SKU1,155
15-03-2022,R1,SKU1,248.5
16-03-2022,R1,SKU1,173
17-03-2022,R1,SKU1,25
19-03-2022,R1,SKU1,40
20-03-2022,R1,SKU1,75
21-03-2022,R1,SKU1,77.5
22-03-2022,R1,SKU1,130
23-03-2022,R1,SKU1,144.5
24-03-2022,R1,SKU1,76
25-03-2022,R1,SKU1,240
26-03-2022,R1,SKU1,140
27-03-2022,R1,SKU1,100
28-03-2022,R1,SKU1,145
29-03-2022,R1,SKU1,102
30-03-2022,R1,SKU1,179
31-03-2022,R1,SKU1,183.5
01-04-2022,R1,SKU1,76
02-04-2022,R1,SKU1,226
03-04-2022,R1,SKU1,117
04-04-2022,R1,SKU1,80
05-04-2022,R1,SKU1,106
06-04-2022,R1,SKU1,267.5
07-04-2022,R1,SKU1,186
08-04-2022,R1,SKU1,45
09-04-2022,R1,SKU1,258
10-04-2022,R1,SKU1,121
11-04-2022,R1,SKU1,41
12-04-2022,R1,SKU1,88.75
13-04-2022,R1,SKU1,50
14-04-2022,R1,SKU1,132
15-04-2022,R1,SKU1,288
16-04-2022,R1,SKU1,120
17-04-2022,R1,SKU1,85
18-04-2022,R1,SKU1,141
19-04-2022,R1,SKU1,15
20-04-2022,R1,SKU1,50
21-04-2022,R1,SKU1,90
22-04-2022,R1,SKU1,35
23-04-2022,R1,SKU1,142.5
24-04-2022,R1,SKU1,186.5
25-04-2022,R1,SKU1,35
26-04-2022,R1,SKU1,100
27-04-2022,R1,SKU1,128.5
28-04-2022,R1,SKU1,205
29-04-2022,R1,SKU1,185
30-04-2022,R1,SKU1,90
01-05-2022,R1,SKU1,25
02-05-2022,R1,SKU1,42.5
03-05-2022,R1,SKU1,50
04-05-2022,R1,SKU1,45
05-05-2022,R1,SKU1,42.5
06-05-2022,R1,SKU1,130
07-05-2022,R1,SKU1,135
08-05-2022,R1,SKU1,180
09-05-2022,R1,SKU1,90
10-05-2022,R1,SKU1,44
11-05-2022,R1,SKU1,84.5
12-05-2022,R1,SKU1,110
13-05-2022,R1,SKU1,45
14-05-2022,R1,SKU1,40
15-05-2022,R1,SKU1,96.5
16-05-2022,R1,SKU1,120
17-05-2022,R1,SKU1,35
18-05-2022,R1,SKU1,137
19-05-2022,R1,SKU1,74
20-05-2022,R1,SKU1,111
21-05-2022,R1,SKU1,170
22-05-2022,R1,SKU1,32
23-05-2022,R1,SKU1,81.5
24-05-2022,R1,SKU1,75
25-05-2022,R1,SKU1,85
26-05-2022,R1,SKU1,121
27-05-2022,R1,SKU1,175
28-05-2022,R1,SKU1,45
29-05-2022,R1,SKU1,120
30-05-2022,R1,SKU1,233.5
31-05-2022,R1,SKU1,254.5
01-06-2022,R1,SKU1,120
02-06-2022,R1,SKU1,20
03-06-2022,R1,SKU1,105
04-06-2022,R1,SKU1,45
05-06-2022,R1,SKU1,129
06-06-2022,R1,SKU1,131
07-06-2022,R1,SKU1,45
08-06-2022,R1,SKU1,133
09-06-2022,R1,SKU1,42
10-06-2022,R1,SKU1,55
11-06-2022,R1,SKU1,126
12-06-2022,R1,SKU1,74.5
13-06-2022,R1,SKU1,77.5
14-06-2022,R1,SKU1,145
15-06-2022,R1,SKU1,90
16-06-2022,R1,SKU1,84
17-06-2022,R1,SKU1,135
18-06-2022,R1,SKU1,55
19-06-2022,R1,SKU1,80
21-06-2022,R1,SKU1,65
22-06-2022,R1,SKU1,40
23-06-2022,R1,SKU1,64.5
24-06-2022,R1,SKU1,65
25-06-2022,R1,SKU1,122.5
26-06-2022,R1,SKU1,72
28-06-2022,R1,SKU1,132
29-06-2022,R1,SKU1,51.5
30-06-2022,R1,SKU1,170
03-07-2022,R1,SKU1,20
05-07-2022,R1,SKU1,10
06-07-2022,R1,SKU1,10
10-07-2022,R1,SKU1,2.5
12-07-2022,R1,SKU1,30
19-07-2022,R1,SKU1,20
20-07-2022,R1,SKU1,5
21-07-2022,R1,SKU1,5
22-07-2022,R1,SKU1,10
23-07-2022,R1,SKU1,30
24-07-2022,R1,SKU1,25
25-07-2022,R1,SKU1,80
26-07-2022,R1,SKU1,15
27-07-2022,R1,SKU1,52.5
28-07-2022,R1,SKU1,35
29-07-2022,R1,SKU1,50
30-07-2022,R1,SKU1,10
